"LSOA11CD","baseline_income","baseline_price","baseline_mobility","baseline_crime","latest_income","latest_price","latest_mobility","latest_crime","income_change_rate","price_change_rate","mobility_change","crime_improvement_rate","has_valid_income","has_valid_price","has_valid_mobility","has_valid_crime","income_percentile","price_percentile","mobility_percentile","crime_percentile","income_minmax","price_minmax","mobility_minmax","crime_minmax","income_z","price_z","mobility_z","crime_z","income_z_scaled","price_z_scaled","mobility_z_scaled","crime_z_scaled","index_percentile","index_minmax","index_zscore","dynamic_index","project","method","baseline_year","analysis_year"
"E01000091",34403.4072169896,220000,0.31,0.0922633349351273,45947.1903752455,206000,0.049,0.0801909307875895,0.335541857393566,-0.0636363636363636,-0.261,0.130847255369928,TRUE,TRUE,TRUE,TRUE,33.3333333333333,0,100,66.6666666666667,90.5427291826159,0,100,70.397986153573,0.39809674629415,-1.05734399919511,1.23568603208502,0.463964125866676,65.4720563654236,14.5177309741202,89.1712354223629,67.8663275970007,45,62.7225166778207,56.469694197004,62.7225166778207,"BRE","MinMax_Small_Sample",2015,2022
"E01000092",39083.4952529693,167995,0.472,0,47997.1104661313,317500,0.072,0,0.228065968907548,0.88993720051192,-0.4,0,TRUE,TRUE,TRUE,TRUE,0,100,0,0,0,100,0,0,-1.49510112488498,1.28626782481646,-0.827501456921801,-1.13081990146801,6.74440261814151,90.0825196262744,20.3976448324388,12.9065450862965,30,30,36.083469644379,30,"BRE","MinMax_Small_Sample",2015,2022
"E01000094",34444.5143483354,199000,0.543,0.0627358490566038,46203.6230270109,288371.25,0.145,0.0510752688172043,0.341392784922334,0.44910175879397,-0.398,0.185867895545315,TRUE,TRUE,TRUE,TRUE,66.6666666666667,66.6666666666667,33.3333333333333,100,95.4718249469489,53.7701695713747,1.43884892086327,100,0.501161384306686,0.2028200526707,-0.79781530600084,1.13456312221063,69.1871225632926,58.0362158045621,21.248883886468,87.1720794006339,63.3333333333333,60.1323105857129,56.5550343920685,60.1323105857129,"BRE","MinMax_Small_Sample",2015,2022
"E01000096",34313.0921194616,275000,0.366,0.113377324535093,46211.768002747,327500,0.048,0.10720887245841,0.346767812176762,0.190909090909091,-0.318,0.0544064000625924,TRUE,TRUE,TRUE,TRUE,100,33.3333333333333,66.6666666666667,33.3333333333333,100,26.693845563222,58.9928057553957,29.2715425130146,0.59584299428414,-0.431743878292052,0.389630730837619,-0.4677073466093,72.4359940724968,33.2963786415239,65.159518767528,31.9996943328381,61.6666666666667,57.1470864847677,52.8095456560139,57.1470864847677,"BRE","MinMax_Small_Sample",2015,2022
